ordre,x0,x1,y0,etat,solution,chemin_solution,no,no_parent,a,b,c,n,rest,rest2,nombre,x,y,ID_RESOLUTION,a2,b2
1,7,,5,2,0,0,79,78,5,,0,1,35,35,15,7,5,10101,0,
1,7,,5,2,0,0,80,78,5,,0,1,35,35,15,7,5,10102,1,
1,7,,5,2,0,0,81,78,5,,0,1,35,35,15,7,5,10103,2,
1,7,,5,2,0,0,82,78,5,,0,1,35,35,15,7,5,10104,3,
1,7,,5,2,0,0,83,78,5,,0,1,35,35,15,7,5,10105,4,
1,7,,5,2,0,0,84,78,5,,0,1,35,35,15,7,5,10106,5,
1,7,,5,2,0,0,85,78,5,,0,1,35,35,15,7,5,10107,6,
1,7,,5,2,0,0,86,78,5,,0,1,35,35,15,7,5,10108,7,
1,7,,5,2,0,0,87,78,5,,0,1,35,35,15,7,5,10109,8,
1,7,,5,2,0,0,88,78,5,,0,1,35,35,15,7,5,10110,9,
0,,,,0,0,0,89,,,,0,5,1,0,15,0,0,10096,9,5
1,9,,5,2,0,0,90,89,5,,0,1,45,45,15,9,5,10101,0,
1,9,,5,2,0,0,91,89,5,,0,1,45,45,15,9,5,10102,1,
1,9,,5,2,0,0,92,89,5,,0,1,45,45,15,9,5,10103,2,
1,9,,5,2,0,0,93,89,5,,0,1,45,45,15,9,5,10104,3,
1,9,,5,2,0,0,94,89,5,,0,1,45,45,15,9,5,10105,4,
1,9,,5,2,0,0,95,89,5,,0,1,45,45,15,9,5,10106,5,
1,9,,5,2,0,0,96,89,5,,0,1,45,45,15,9,5,10107,6,
1,9,,5,2,0,0,97,89,5,,0,1,45,45,15,9,5,10108,7,
1,9,,5,2,0,0,98,89,5,,0,1,45,45,15,9,5,10109,8,
1,9,,5,2,0,0,99,89,5,,0,1,45,45,15,9,5,10110,9,
