ordre,x0,x1,x2,x3,y0,y1,etat,solution,chemin_solution,no,no_parent,a,b,c,n,rest,rest2
4,1,3,8,7,9,3,2,0,0,82,74,,,,0,95409,95
4,1,3,8,8,9,3,2,0,0,83,74,,,,0,104409,104
4,1,3,8,9,9,3,2,0,0,84,74,,,,0,113409,113
3,1,3,9,,9,3,2,0,0,85,65,9,,,9,9309,93
2,1,4,,,9,4,0,0,0,86,1,9,,,4,409,40
3,1,4,0,,9,4,2,0,0,87,86,9,,,9,2009,20
3,1,4,1,,9,4,2,0,0,88,86,9,,,9,2909,29
3,1,4,2,,9,4,2,0,0,89,86,9,,,9,3809,38
3,1,4,3,,9,4,2,0,0,90,86,9,,,9,4709,47
3,1,4,4,,9,4,2,0,0,91,86,9,,,9,5609,56
3,1,4,5,,9,4,2,0,0,92,86,9,,,9,6509,65
3,1,4,6,,9,4,0,0,0,93,86,9,,,9,7409,74
4,1,4,6,0,9,4,2,0,0,94,93,,,,0,31409,31
4,1,4,6,1,9,4,2,0,0,95,93,,,,0,40409,40
4,1,4,6,2,9,4,2,0,0,96,93,,,,0,49409,49
4,1,4,6,3,9,4,2,0,0,97,93,,,,0,58409,58
4,1,4,6,4,9,4,2,0,0,98,93,,,,0,67409,67
4,1,4,6,5,9,4,2,0,0,99,93,,,,0,76409,76
4,1,4,6,6,9,4,2,0,0,100,93,,,,0,85409,85
4,1,4,6,7,9,4,2,0,0,101,93,,,,0,94409,94
4,1,4,6,8,9,4,2,0,0,102,93,,,,0,103409,103
4,1,4,6,9,9,4,2,0,0,103,93,,,,0,112409,112
3,1,4,7,,9,4,2,0,0,104,86,9,,,9,8309,83
3,1,4,8,,9,4,2,0,0,105,86,9,,,9,9209,92
3,1,4,9,,9,4,2,0,0,106,86,9,,,9,10109,101
2,1,5,,,9,5,0,0,0,107,1,9,,,4,509,50
3,1,5,0,,9,5,2,0,0,108,107,9,,,9,3009,30
3,1,5,1,,9,5,2,0,0,109,107,9,,,9,3909,39
3,1,5,2,,9,5,2,0,0,110,107,9,,,9,4809,48
3,1,5,3,,9,5,2,0,0,111,107,9,,,9,5709,57
3,1,5,4,,9,5,2,0,0,112,107,9,,,9,6609,66
3,1,5,5,,9,5,2,0,0,113,107,9,,,9,7509,75
3,1,5,6,,9,5,0,0,0,114,107,9,,,9,8409,84
4,1,5,6,0,9,5,2,0,0,115,114,,,,0,38409,38
4,1,5,6,1,9,5,2,0,0,116,114,,,,0,47409,47
4,1,5,6,2,9,5,2,0,0,117,114,,,,0,56409,56
4,1,5,6,3,9,5,2,0,0,118,114,,,,0,65409,65
4,1,5,6,4,9,5,2,0,0,119,114,,,,0,74409,74
4,1,5,6,5,9,5,2,0,0,120,114,,,,0,83409,83
4,1,5,6,6,9,5,2,0,0,121,114,,,,0,92409,92
4,1,5,6,7,9,5,2,0,0,122,114,,,,0,101409,101
4,1,5,6,8,9,5,2,0,0,123,114,,,,0,110409,110
4,1,5,6,9,9,5,2,0,0,124,114,,,,0,119409,119
3,1,5,7,,9,5,2,0,0,125,107,9,,,9,9309,93
3,1,5,8,,9,5,2,0,0,126,107,9,,,9,10209,102
3,1,5,9,,9,5,2,0,0,127,107,9,,,9,11109,111
2,1,6,,,9,6,0,0,0,128,1,9,,,4,609,60
3,1,6,0,,9,6,2,0,0,129,128,9,,,9,4209,42
3,1,6,1,,9,6,2,0,0,130,128,9,,,9,5109,51
3,1,6,2,,9,6,2,0,0,131,128,9,,,9,6009,60
3,1,6,3,,9,6,2,0,0,132,128,9,,,9,6909,69
3,1,6,4,,9,6,2,0,0,133,128,9,,,9,7809,78
3,1,6,5,,9,6,2,0,0,134,128,9,,,9,8709,87
3,1,6,6,,9,6,2,0,0,135,128,9,,,9,9609,96
3,1,6,7,,9,6,2,0,0,136,128,9,,,9,10509,105
3,1,6,8,,9,6,0,0,0,137,128,9,,,9,11409,114
4,1,6,8,0,9,6,2,0,0,138,137,,,,0,59409,59
4,1,6,8,1,9,6,2,0,0,139,137,,,,0,68409,68
4,1,6,8,2,9,6,2,0,0,140,137,,,,0,77409,77
4,1,6,8,3,9,6,2,0,0,141,137,,,,0,86409,86
4,1,6,8,4,9,6,2,0,0,142,137,,,,0,95409,95
4,1,6,8,5,9,6,2,0,0,143,137,,,,0,104409,104
4,1,6,8,6,9,6,2,0,0,144,137,,,,0,113409,113
4,1,6,8,7,9,6,2,0,0,145,137,,,,0,122409,122
4,1,6,8,8,9,6,2,0,0,146,137,,,,0,131409,131
4,1,6,8,9,9,6,2,0,0,147,137,,,,0,140409,140
3,1,6,9,,9,6,2,0,0,148,128,9,,,9,12309,123
2,1,7,,,9,7,0,0,0,149,1,9,,,4,709,70
3,1,7,0,,9,7,2,0,0,150,149,9,,,9,5609,56
3,1,7,1,,9,7,2,0,0,151,149,9,,,9,6509,65
3,1,7,2,,9,7,0,0,0,152,149,9,,,9,7409,74
4,1,7,2,0,9,7,2,0,0,153,152,,,,0,21409,21
4,1,7,2,1,9,7,2,0,0,154,152,,,,0,30409,30
4,1,7,2,2,9,7,2,0,0,155,152,,,,0,39409,39
4,1,7,2,3,9,7,2,0,0,156,152,,,,0,48409,48
4,1,7,2,4,9,7,2,0,0,157,152,,,,0,57409,57
4,1,7,2,5,9,7,2,0,0,158,152,,,,0,66409,66
4,1,7,2,6,9,7,2,0,0,159,152,,,,0,75409,75
4,1,7,2,7,9,7,2,0,0,160,152,,,,0,84409,84
4,1,7,2,8,9,7,2,0,0,161,152,,,,0,93409,93
4,1,7,2,9,9,7,2,0,0,162,152,,,,0,102409,102
3,1,7,3,,9,7,2,0,0,163,149,9,,,9,8309,83
3,1,7,4,,9,7,2,0,0,164,149,9,,,9,9209,92
3,1,7,5,,9,7,2,0,0,165,149,9,,,9,10109,101
3,1,7,6,,9,7,2,0,0,166,149,9,,,9,11009,110
3,1,7,7,,9,7,2,0,0,167,149,9,,,9,11909,119
3,1,7,8,,9,7,2,0,0,168,149,9,,,9,12809,128
3,1,7,9,,9,7,2,0,0,169,149,9,,,9,13709,137
2,1,8,,,9,8,0,0,0,170,1,9,,,4,809,80
3,1,8,0,,9,8,2,0,0,171,170,9,,,9,7209,72
3,1,8,1,,9,8,2,0,0,172,170,9,,,9,8109,81
3,1,8,2,,9,8,2,0,0,173,170,9,,,9,9009,90
3,1,8,3,,9,8,2,0,0,174,170,9,,,9,9909,99
3,1,8,4,,9,8,2,0,0,175,170,9,,,9,10809,108
3,1,8,5,,9,8,2,0,0,176,170,9,,,9,11709,117
3,1,8,6,,9,8,2,0,0,177,170,9,,,9,12609,126
3,1,8,7,,9,8,2,0,0,178,170,9,,,9,13509,135
3,1,8,8,,9,8,0,0,0,179,170,9,,,9,14409,144
4,1,8,8,0,9,8,2,0,0,180,179,,,,0,78409,78
4,1,8,8,1,9,8,2,0,0,181,179,,,,0,87409,87
4,1,8,8,2,9,8,2,0,0,182,179,,,,0,96409,96
4,1,8,8,3,9,8,2,0,0,183,179,,,,0,105409,105
4,1,8,8,4,9,8,2,0,0,184,179,,,,0,114409,114
4,1,8,8,5,9,8,2,0,0,185,179,,,,0,123409,123
4,1,8,8,6,9,8,2,0,0,186,179,,,,0,132409,132
4,1,8,8,7,9,8,2,0,0,187,179,,,,0,141409,141
4,1,8,8,8,9,8,2,0,0,188,179,,,,0,150409,150
4,1,8,8,9,9,8,2,0,0,189,179,,,,0,159409,159
3,1,8,9,,9,8,2,0,0,190,170,9,,,9,15309,153
2,1,9,,,9,9,0,0,0,191,1,9,,,4,909,90
3,1,9,0,,9,9,2,0,0,192,191,9,,,9,9009,90
