ordre,x0,x1,x2,x3,x4,y0,y1,y2,etat,solution,chemin_solution,no,no_parent,a,b,c,n,rest,rest2,nombre,x,y,ID_RESOLUTION,a2,b2
4,7,4,8,3,0,3,0,0,1,1,1,22260,22259,3,,0,1,11541,11,11541,3847,3,10101,0,
4,9,0,3,2,0,5,0,0,1,1,1,77916,77915,5,,0,1,11545,11,11545,2309,5,10101,0,
4,1,5,8,3,0,3,0,0,1,1,1,38,37,3,,0,1,11553,11,11553,3851,3,10101,0,
4,1,1,3,2,0,5,0,0,1,1,1,138,137,5,,0,1,11555,11,11555,2311,5,10101,0,
4,3,5,8,3,0,3,0,0,1,1,1,11149,11148,3,,0,1,11559,11,11559,3853,3,10101,0,
4,1,5,0,1,0,1,1,0,1,1,1,1127,1126,1,,1,1,1561,1,11561,1051,11,10101,0,
4,1,3,0,0,0,3,7,3,1,1,1,8115,8114,3,,0,1,11563,11,11563,31,373,10101,0,
4,3,7,3,0,0,1,3,0,1,1,1,14449,14448,1,,0,1,11563,11,11563,373,31,10101,0,
4,3,4,0,0,0,9,6,2,1,1,1,18004,18003,9,,0,1,11567,11,11567,43,269,10101,0,
4,9,6,2,0,0,3,4,0,1,1,1,37782,37781,3,,0,1,11567,11,11567,269,43,10101,0,
4,3,2,0,0,0,3,0,5,1,1,1,11671,11670,3,,0,1,11569,11,11569,23,503,10101,0,
4,3,0,5,0,0,3,2,0,1,1,1,13338,13337,3,,0,1,11569,11,11569,503,23,10101,0,
4,1,7,0,0,0,3,6,1,1,1,1,6782,6781,3,,0,1,11573,11,11573,71,163,10101,0,
4,3,6,1,0,0,1,7,0,1,1,1,18893,18892,1,,0,1,11573,11,11573,163,71,10101,0,
4,3,1,3,0,0,7,3,0,1,1,1,14449,14448,7,,0,1,11581,11,11581,313,37,10101,0,
4,7,3,0,0,0,3,1,3,1,1,1,23671,23670,3,,0,1,11581,11,11581,37,313,10101,0,
4,3,6,8,3,0,3,0,0,1,1,1,11149,11148,3,,0,1,11589,11,11589,3863,3,10101,0,
4,3,7,1,0,0,7,6,0,1,1,1,17782,17781,7,,0,1,11591,11,11591,173,67,10101,0,
4,7,6,0,0,0,3,7,1,1,1,1,30115,30114,3,,0,1,11591,11,11591,67,173,10101,0,
4,7,5,6,1,0,7,0,0,1,1,1,22238,22237,7,,0,1,11599,11,11599,1657,7,10101,0,
4,7,8,7,1,0,7,0,0,1,1,1,22238,22237,7,,0,1,12509,12,12509,1787,7,10101,0,
4,3,0,5,2,0,5,0,0,1,1,1,11360,11359,5,,0,1,12515,12,12515,2503,5,10101,0,
4,9,5,6,0,0,9,1,0,1,1,1,34449,34448,9,,0,1,12521,12,12521,659,19,10101,0,
4,9,1,0,0,0,9,5,6,1,1,1,39559,39558,9,,0,1,12521,12,12521,19,659,10101,0,
4,9,8,7,1,0,7,0,0,1,1,1,33349,33348,7,,0,1,12523,12,12523,1789,7,10101,0,
4,7,7,1,4,0,3,0,0,1,1,1,22271,22270,3,,0,1,12531,12,12531,4177,3,10101,0,
4,1,5,1,0,0,3,8,0,1,1,1,8893,8892,3,,0,1,12533,12,12533,151,83,10101,0,
4,3,8,0,0,0,1,5,1,1,1,1,16782,16781,1,,0,1,12533,12,12533,83,151,10101,0,
4,3,3,4,0,0,9,2,0,1,1,1,13338,13337,9,,0,1,12557,12,12557,433,29,10101,0,
4,9,2,0,0,0,3,3,4,1,1,1,37115,37114,3,,0,1,12557,12,12557,29,433,10101,0,
4,1,6,6,0,0,9,1,0,1,1,1,1116,1115,9,,0,1,12559,12,12559,661,19,10101,0,
4,9,1,0,0,0,1,6,6,1,1,1,40670,40669,1,,0,1,12559,12,12559,19,661,10101,0,
4,7,1,0,0,0,9,3,7,1,1,1,26337,26336,9,,0,1,12563,12,12563,17,739,10101,0,
4,9,3,7,0,0,7,1,0,1,1,1,34449,34448,7,,0,1,12563,12,12563,739,17,10101,0,
4,3,1,0,0,0,7,6,9,1,1,1,18781,18780,7,,0,1,12571,12,12571,13,967,10101,0,
4,7,6,9,0,0,3,1,0,1,1,1,23338,23337,3,,0,1,12571,12,12571,967,13,10101,0,
4,3,2,0,0,0,7,4,5,1,1,1,16115,16114,7,,0,1,12581,12,12581,23,547,10101,0,
4,7,4,5,0,0,3,2,0,1,1,1,24449,24448,3,,0,1,12581,12,12581,547,23,10101,0,
4,1,4,0,0,0,7,0,3,1,1,1,338,337,7,,0,1,12587,12,12587,41,307,10101,0,
4,7,0,3,0,0,1,4,0,1,1,1,26671,26670,1,,0,1,12587,12,12587,307,41,10101,0,
4,3,9,2,0,0,3,4,0,1,1,1,15560,15559,3,,0,1,12599,12,12599,293,43,10101,0,
4,3,4,0,0,0,3,9,2,1,1,1,21337,21336,3,,0,1,12599,12,12599,43,293,10101,0,
4,3,2,0,0,0,7,8,5,1,1,1,20559,20558,7,,0,1,13501,13,13501,23,587,10101,0,
4,7,8,5,0,0,3,2,0,1,1,1,24449,24448,3,,0,1,13501,13,13501,587,23,10101,0,
4,9,3,0,1,0,3,1,0,1,1,1,34460,34459,3,,1,1,3507,3,13507,1039,13,10101,0,
4,9,5,0,0,0,9,2,2,1,1,1,35782,35781,9,,0,1,13511,13,13511,59,229,10101,0,
4,9,2,2,0,0,9,5,0,1,1,1,38893,38892,9,,0,1,13511,13,13511,229,59,10101,0,
4,1,3,9,1,0,7,0,0,1,1,1,16,15,7,,0,1,13517,13,13517,1931,7,10101,0,
4,9,2,2,1,0,1,1,0,1,1,1,34460,34459,1,,1,1,3519,3,13519,1229,11,10101,0,
4,7,0,5,4,0,3,0,0,1,1,1,22271,22270,3,,0,1,13521,13,13521,4507,3,10101,0,
4,3,8,0,0,0,3,6,1,1,1,1,17893,17892,3,,0,1,13529,13,13529,83,163,10101,0,
4,3,6,1,0,0,3,8,0,1,1,1,20004,20003,3,,0,1,13529,13,13529,163,83,10101,0,
4,3,3,9,1,0,7,0,0,1,1,1,11127,11126,7,,0,1,13531,13,13531,1933,7,10101,0,
4,7,0,7,2,0,5,0,0,1,1,1,67027,67026,5,,0,1,13535,13,13535,2707,5,10101,0,
4,3,1,5,4,0,3,0,0,1,1,1,11160,11159,3,,0,1,13539,13,13539,4513,3,10101,0,
4,1,3,2,1,0,1,1,0,1,1,1,1127,1126,1,,1,1,3541,3,13541,1231,11,10101,0,
4,7,6,4,0,0,9,2,0,1,1,1,24449,24448,9,,0,1,13543,13,13543,467,29,10101,0,
4,9,2,0,0,0,7,6,4,1,1,1,40448,40447,7,,0,1,13543,13,13543,29,467,10101,0,
4,7,9,7,0,0,7,1,0,1,1,1,23338,23337,7,,0,1,13549,13,13549,797,17,10101,0,
4,7,1,0,0,0,7,9,7,1,1,1,33003,33002,7,,0,1,13549,13,13549,17,797,10101,0,
4,7,1,5,4,0,3,0,0,1,1,1,22271,22270,3,,0,1,13551,13,13551,4517,3,10101,0,
4,1,1,7,2,0,5,0,0,1,1,1,360,359,5,,0,1,13555,13,13555,2711,5,10101,0,
4,9,1,5,4,0,3,0,0,1,1,1,33382,33381,3,,0,1,13557,13,13557,4519,3,10101,0,
4,1,9,1,0,0,1,7,0,1,1,1,7782,7781,1,,0,1,13561,13,13561,191,71,10101,0,
4,1,7,0,0,0,1,9,1,1,1,1,10115,10114,1,,0,1,13561,13,13561,71,191,10101,0,
4,3,1,7,2,0,5,0,0,1,1,1,11471,11470,5,,0,1,13565,13,13565,2713,5,10101,0,
4,3,2,5,4,0,3,0,0,1,1,1,11160,11159,3,,0,1,13569,13,13569,4523,3,10101,0,
4,1,4,0,0,0,1,3,3,1,1,1,3671,3670,1,,0,1,13571,13,13571,41,331,10101,0,
4,1,3,3,0,0,1,4,0,1,1,1,4449,4448,1,,0,1,13571,13,13571,331,41,10101,0,
4,7,6,3,0,0,7,3,0,1,1,1,25560,25559,7,,0,1,13579,13,13579,367,37,10101,0,
4,7,3,0,0,0,7,6,3,1,1,1,29226,29225,7,,0,1,13579,13,13579,37,367,10101,0,
4,7,2,1,0,0,7,0,1,1,1,1,22338,22337,7,,1,1,3589,3,13589,127,107,10101,0,
4,7,0,1,0,0,7,2,1,1,1,1,24560,24559,7,,1,1,3589,3,13589,107,127,10101,0,
4,9,1,7,2,0,5,0,0,1,1,1,78138,78137,5,,0,1,13595,13,13595,2719,5,10101,0,
4,3,5,8,0,0,7,1,0,1,1,1,12227,12226,7,,0,1,14501,14,14501,853,17,10101,0,
4,7,1,0,0,0,3,5,8,1,1,1,28670,28669,3,,0,1,14501,14,14501,17,853,10101,0,
4,3,6,1,0,0,9,8,0,1,1,1,20004,20003,9,,0,1,14507,14,14507,163,89,10101,0,
4,9,8,0,0,0,3,6,1,1,1,1,40115,40114,3,,0,1,14507,14,14507,89,163,10101,0,
4,9,1,3,1,0,1,1,0,1,1,1,34460,34459,1,,1,1,4509,4,14509,1319,11,10101,0,
4,1,3,6,0,0,3,2,0,1,1,1,2227,2226,3,,0,1,14513,14,14513,631,23,10101,0,
4,3,2,0,0,0,1,3,6,1,1,1,15115,15114,1,,0,1,14513,14,14513,23,631,10101,0,
4,3,0,9,2,0,5,0,0,1,1,1,11582,11581,5,,0,1,14515,14,14515,2903,5,10101,0,
4,7,1,1,1,0,3,1,0,1,1,1,23349,23348,3,,1,1,4521,4,14521,1117,13,10101,0,
4,3,7,0,0,0,9,9,1,1,1,1,21226,21225,9,,0,1,14527,14,14527,73,199,10101,0,
4,9,9,1,0,0,3,7,0,1,1,1,41115,41114,3,,0,1,14527,14,14527,199,73,10101,0,
4,1,2,3,1,0,1,1,0,1,1,1,1127,1126,1,,1,1,4531,4,14531,1321,11,10101,0,
4,9,0,9,2,0,5,0,0,1,1,1,78249,78248,5,,0,1,14545,14,14545,2909,5,10101,0,
4,1,8,0,2,0,7,0,0,1,1,1,27,26,7,,0,1,14567,14,14567,2081,7,10101,0,
4,7,5,8,0,0,7,1,0,1,1,1,23338,23337,7,,0,1,14569,14,14569,857,17,10101,0,
4,7,1,0,0,0,7,5,8,1,1,1,28670,28669,7,,0,1,14569,14,14569,17,857,10101,0,
4,1,6,0,0,0,9,3,2,1,1,1,3560,3559,9,,0,1,14579,14,14579,61,239,10101,0,
4,9,3,2,0,0,1,6,0,1,1,1,40004,40003,1,,0,1,14579,14,14579,239,61,10101,0,
4,3,8,0,2,0,7,0,0,1,1,1,11138,11137,7,,0,1,14581,14,14581,2083,7,10101,0,
4,1,6,8,4,0,3,0,0,1,1,1,49,48,3,,0,1,14583,14,14583,4861,3,10101,0,
4,7,1,9,2,0,5,0,0,1,1,1,67138,67137,5,,0,1,14585,14,14585,2917,5,10101,0,
4,3,0,5,0,0,9,2,0,1,1,1,13338,13337,9,,0,1,14587,14,14587,503,29,10101,0,
4,9,2,0,0,0,3,0,5,1,1,1,33893,33892,3,,0,1,14587,14,14587,29,503,10101,0,
4,7,2,3,1,0,1,1,0,1,1,1,23349,23348,1,,1,1,4597,4,14597,1327,11,10101,0,
4,3,2,1,1,0,3,1,0,1,1,1,12238,12237,3,,1,1,4599,4,14599,1123,13,10101,0,
4,7,6,1,5,0,3,0,0,1,1,1,22282,22281,3,,0,1,15501,15,15501,5167,3,10101,0,
4,7,3,0,0,0,9,1,4,1,1,1,23782,23781,9,,0,1,15503,15,15503,37,419,10101,0,
4,9,1,4,0,0,7,3,0,1,1,1,36671,36670,7,,0,1,15503,15,15503,419,37,10101,0,
4,3,9,1,1,0,3,1,0,1,1,1,12238,12237,3,,1,1,5509,5,15509,1193,13,10101,0,
4,1,7,1,5,0,3,0,0,1,1,1,60,59,3,,0,1,15513,15,15513,5171,3,10101,0,
4,3,6,2,0,0,9,5,0,1,1,1,16671,16670,9,,0,1,15517,15,15517,263,59,10101,0,
4,9,5,0,0,0,3,6,2,1,1,1,40226,40225,3,,0,1,15517,15,15517,59,263,10101,0,
4,3,9,2,0,0,3,5,0,1,1,1,16671,16670,3,,0,1,15529,15,15529,293,53,10101,0,
4,3,5,0,0,0,3,9,2,1,1,1,21337,21336,3,,0,1,15529,15,15529,53,293,10101,0,
4,9,7,1,5,0,3,0,0,1,1,1,33393,33392,3,,0,1,15537,15,15537,5179,3,10101,0,
4,1,4,0,0,0,9,7,3,1,1,1,8115,8114,9,,0,1,15539,15,15539,41,379,10101,0,
4,9,7,3,0,0,1,4,0,1,1,1,37782,37781,1,,0,1,15539,15,15539,379,41,10101,0,
4,9,0,1,3,0,5,0,0,1,1,1,77816,77815,5,,0,1,15545,15,15545,3109,5,10101,0,
4,1,2,2,2,0,7,0,0,1,1,1,27,26,7,,0,1,15547,15,15547,2221,7,10101,0,
4,1,5,1,0,0,3,0,1,1,1,1,116,115,3,,1,1,5553,5,15553,151,103,10101,0,
4,3,0,1,0,0,1,5,1,1,1,1,16782,16781,1,,1,1,5553,5,15553,103,151,10101,0,
4,1,3,3,0,0,7,4,0,1,1,1,4449,4448,7,,0,1,15557,15,15557,331,47,10101,0,
4,7,4,0,0,0,1,3,3,1,1,1,25893,25892,1,,0,1,15557,15,15557,47,331,10101,0,
4,7,9,1,0,0,9,7,0,1,1,1,30004,30003,9,,0,1,15563,15,15563,197,79,10101,0,
4,9,7,0,0,0,7,9,1,1,1,1,43448,43447,7,,0,1,15563,15,15563,79,197,10101,0,
4,9,8,1,5,0,3,0,0,1,1,1,33393,33392,3,,0,1,15567,15,15567,5189,3,10101,0,
4,3,2,0,0,0,7,7,6,1,1,1,19559,19558,7,,0,1,15571,15,15571,23,677,10101,0,
4,7,7,6,0,0,3,2,0,1,1,1,24449,24448,3,,0,1,15571,15,15571,677,23,10101,0,
4,1,2,4,0,0,7,3,0,1,1,1,3338,3337,7,,0,1,15577,15,15577,421,37,10101,0,
4,7,3,0,0,0,1,2,4,1,1,1,24893,24892,1,,0,1,15577,15,15577,37,421,10101,0,
4,7,9,1,5,0,3,0,0,1,1,1,22282,22281,3,,0,1,15591,15,15591,5197,3,10101,0,
4,1,3,0,0,0,3,0,5,1,1,1,560,559,3,,0,1,15593,15,15593,31,503,10101,0,
4,3,0,5,0,0,1,3,0,1,1,1,14449,14448,1,,0,1,15593,15,15593,503,31,10101,0,
4,9,1,1,3,0,5,0,0,1,1,1,77816,77815,5,,0,1,15595,15,15595,3119,5,10101,0,
4,1,2,8,0,0,9,1,0,1,1,1,1116,1115,9,,0,1,15599,15,15599,821,19,10101,0,
4,9,1,0,0,0,1,2,8,1,1,1,36448,36447,1,,0,1,15599,15,15599,19,821,10101,0,
4,9,6,5,0,0,9,2,0,1,1,1,35560,35559,9,,0,1,16501,16,16501,569,29,10101,0,
4,9,2,0,0,0,9,6,5,1,1,1,40559,40558,9,,0,1,16501,16,16501,29,569,10101,0,
4,1,0,5,5,0,3,0,0,1,1,1,60,59,3,,0,1,16503,16,16503,5501,3,10101,0,
4,1,0,3,3,0,5,0,0,1,1,1,149,148,5,,0,1,16505,16,16505,3301,5,10101,0,
4,1,7,9,0,0,7,1,0,1,1,1,1116,1115,7,,0,1,16507,16,16507,971,17,10101,0,
4,7,1,0,0,0,1,7,9,1,1,1,31003,31002,1,,0,1,16507,16,16507,17,971,10101,0,
4,3,0,5,5,0,3,0,0,1,1,1,11171,11170,3,,0,1,16509,16,16509,5503,3,10101,0,
4,3,8,0,0,0,9,9,1,1,1,1,21226,21225,9,,0,1,16517,16,16517,83,199,10101,0,
4,9,9,1,0,0,3,8,0,1,1,1,42226,42225,3,,0,1,16517,16,16517,199,83,10101,0,
4,7,0,5,5,0,3,0,0,1,1,1,22282,22281,3,,0,1,16521,16,16521,5507,3,10101,0,
4,1,7,2,0,0,1,6,0,1,1,1,6671,6670,1,,0,1,16531,16,16531,271,61,10101,0,
4,1,6,0,0,0,1,7,2,1,1,1,8004,8003,1,,0,1,16531,16,16531,61,271,10101,0,
4,7,0,3,3,0,5,0,0,1,1,1,66816,66815,5,,0,1,16535,16,16535,3307,5,10101,0,
4,3,2,0,0,0,9,1,7,1,1,1,13004,13003,9,,0,1,16537,16,16537,23,719,10101,0,
4,9,1,7,0,0,3,2,0,1,1,1,35560,35559,3,,0,1,16537,16,16537,719,23,10101,0,
4,1,7,0,0,0,3,3,2,1,1,1,3560,3559,3,,0,1,16543,16,16543,71,233,10101,0,
4,3,3,2,0,0,1,7,0,1,1,1,18893,18892,1,,0,1,16543,16,16543,233,71,10101,0,
4,9,1,5,5,0,3,0,0,1,1,1,33393,33392,3,,0,1,16557,16,16557,5519,3,10101,0,
4,1,7,5,0,0,9,2,0,1,1,1,2227,2226,9,,0,1,16559,16,16559,571,29,10101,0,
4,9,2,0,0,0,1,7,5,1,1,1,41670,41669,1,,0,1,16559,16,16559,29,571,10101,0,
4,1,2,5,5,0,3,0,0,1,1,1,60,59,3,,0,1,16563,16,16563,5521,3,10101,0,
