ordre,x0,x1,x2,x3,x4,y0,y1,y2,etat,solution,chemin_solution,no,no_parent,a,b,c,n,rest,rest2,nombre,x,y,ID_RESOLUTION,a2,b2
0,1,,,,,1,,,0,0,1,1,,,,0,1,1,0,10511,0,0,10012,1,1
1,1,1,,,,1,0,,0,0,1,2,1,1,1,0,1,1,1,10511,1,1,1102,1,0
2,1,1,5,,,1,0,0,0,0,1,3,2,1,1,0,5,11,1,10511,11,1,1106,5,0
3,1,1,5,0,,1,0,0,0,0,1,4,3,1,,0,0,511,5,10511,511,1,10101,0,
4,1,1,5,0,1,1,0,0,1,1,1,6,4,1,,0,1,511,0,10511,511,1,10102,1,
0,3,,,,,7,,,0,0,1,11112,,,,0,1,1,0,10511,0,0,10038,3,7
1,3,2,,,,7,5,,0,0,1,16668,11112,7,3,0,1,21,21,10511,3,7,3753,2,5
2,3,2,0,,,7,5,4,0,0,1,17113,16668,7,3,10,5,311,31,10511,23,57,3741,0,4
3,3,2,0,0,,7,5,4,0,0,1,17114,17113,7,,8,0,2511,25,10511,23,457,10101,0,
4,3,2,0,0,0,7,5,4,1,1,1,17115,17114,7,,0,1,10511,10,10511,23,457,10101,0,
0,7,,,,,3,,,0,0,1,22223,,,,0,1,1,0,10511,0,0,10074,7,3
1,7,5,,,,3,2,,0,0,1,24446,22223,3,7,0,1,21,21,10511,7,3,7326,5,2
2,7,5,4,,,3,2,0,0,0,1,24447,24446,3,7,10,5,311,31,10511,57,23,7305,4,0
3,7,5,4,0,,3,2,0,0,0,1,24448,24447,3,,8,0,2511,25,10511,457,23,10101,0,
4,7,5,4,0,0,3,2,0,1,1,1,24449,24448,3,,0,1,10511,10,10511,457,23,10101,0,
0,3,,,,,9,,,0,0,1,11112,,,,0,7,1,0,10517,0,0,10040,3,9
1,3,1,,,,9,0,,0,0,1,11113,11112,9,3,0,1,27,27,10517,3,9,3902,1,0
2,3,1,0,,,9,0,8,0,0,1,12002,11113,9,3,0,5,117,11,10517,13,9,3981,0,8
3,3,1,0,0,,9,0,8,0,0,1,12003,12002,9,,8,0,2517,25,10517,13,809,10101,0,
4,3,1,0,0,0,9,0,8,1,1,1,12004,12003,9,,0,1,10517,10,10517,13,809,10101,0,
0,7,,,,,1,,,0,0,1,22223,,,,0,7,1,0,10517,0,0,10072,7,1
1,7,1,,,,1,0,,0,0,1,22224,22223,1,7,0,1,7,7,10517,7,1,7102,1,0
2,7,1,5,,,1,0,0,0,0,1,22225,22224,1,7,0,5,17,1,10517,17,1,7106,5,0
3,7,1,5,0,,1,0,0,0,0,1,22226,22225,1,,0,0,517,5,10517,517,1,10101,0,
4,7,1,5,0,1,1,0,0,1,1,1,22228,22226,1,,0,1,517,0,10517,517,1,10102,1,
0,9,,,,,3,,,0,0,1,33334,,,,0,7,1,0,10517,0,0,10094,9,3
1,9,0,,,,3,1,,0,0,1,34446,33334,3,9,0,1,27,27,10517,9,3,9311,0,1
2,9,0,8,,,3,1,0,0,0,1,34447,34446,3,9,0,5,117,11,10517,9,13,9309,8,0
3,9,0,8,0,,3,1,0,0,0,1,34448,34447,3,,8,0,2517,25,10517,809,13,10101,0,
4,9,0,8,0,0,3,1,0,1,1,1,34449,34448,3,,0,1,10517,10,10517,809,13,10101,0,
0,7,,,,,7,,,0,0,1,22223,,,,0,9,1,0,10519,0,0,10078,7,7
1,7,6,,,,7,5,,0,0,1,27779,22223,7,7,0,1,49,49,10519,7,7,7757,6,5
2,7,6,0,,,7,5,1,0,0,1,27891,27779,7,7,30,5,819,81,10519,67,57,7711,0,1
3,7,6,0,0,,7,5,1,0,0,1,27892,27891,7,,6,0,4519,45,10519,67,157,10101,0,
4,7,6,0,0,0,7,5,1,1,1,1,27893,27892,7,,0,1,10519,10,10519,67,157,10101,0,
1,7,5,,,,7,6,,0,0,1,28890,22223,7,7,0,1,49,49,10519,7,7,7766,5,6
2,7,5,1,,,7,6,0,0,0,1,28891,28890,7,7,30,5,819,81,10519,57,67,7702,1,0
3,7,5,1,0,,7,6,0,0,0,1,28892,28891,7,,6,0,4519,45,10519,157,67,10101,0,
4,7,5,1,0,0,7,6,0,1,1,1,28893,28892,7,,0,1,10519,10,10519,157,67,10101,0,
0,9,,,,,1,,,0,0,1,33334,,,,0,9,1,0,10519,0,0,10092,9,1
1,9,1,,,,1,0,,0,0,1,33335,33334,1,9,0,1,9,9,10519,9,1,9102,1,0
2,9,1,5,,,1,0,0,0,0,1,33336,33335,1,9,0,5,19,1,10519,19,1,9106,5,0
3,9,1,5,0,,1,0,0,0,0,1,33337,33336,1,,0,0,519,5,10519,519,1,10101,0,
4,9,1,5,0,1,1,0,0,1,1,1,33339,33337,1,,0,1,519,0,10519,519,1,10102,1,
0,3,,,,,1,,,0,0,1,11112,,,,0,3,1,0,10523,0,0,10032,3,1
1,3,2,,,,1,0,,0,0,1,11113,11112,1,3,0,2,3,3,10523,3,1,3103,2,0
2,3,2,5,,,1,0,0,0,0,1,11114,11113,1,3,0,5,23,2,10523,23,1,3106,5,0
3,3,2,5,0,,1,0,0,0,0,1,11115,11114,1,,0,0,523,5,10523,523,1,10101,0,
4,3,2,5,0,1,1,0,0,1,1,1,11117,11115,1,,0,1,523,0,10523,523,1,10102,1,
0,7,,,,,9,,,0,0,1,22223,,,,0,3,1,0,10523,0,0,10080,7,9
1,7,1,,,,9,1,,0,0,1,23335,22223,9,7,0,2,63,63,10523,7,9,7912,1,1
2,7,1,0,,,9,1,6,0,0,1,24002,23335,9,7,1,5,223,22,10523,17,19,7961,0,6
3,7,1,0,0,,9,1,6,0,0,1,24003,24002,9,,6,0,4523,45,10523,17,619,10101,0,
4,7,1,0,0,0,9,1,6,1,1,1,24004,24003,9,,0,1,10523,10,10523,17,619,10101,0,
0,9,,,,,7,,,0,0,1,33334,,,,0,3,1,0,10523,0,0,10098,9,7
1,9,1,,,,7,1,,0,0,1,34446,33334,7,9,0,2,63,63,10523,9,7,9712,1,1
2,9,1,6,,,7,1,0,0,0,1,34447,34446,7,9,1,5,223,22,10523,19,17,9707,6,0
3,9,1,6,0,,7,1,0,0,0,1,34448,34447,7,,6,0,4523,45,10523,619,17,10101,0,
4,9,1,6,0,0,7,1,0,1,1,1,34449,34448,7,,0,1,10523,10,10523,619,17,10101,0,
0,1,,,,,3,,,0,0,1,1,,,,0,3,1,0,10533,0,0,10014,1,3
1,1,1,,,,3,0,,0,0,1,2,1,3,1,0,3,3,3,10533,1,3,1302,1,0
2,1,1,5,,,3,0,0,0,0,1,3,2,3,1,0,5,33,3,10533,11,3,1306,5,0
3,1,1,5,3,,3,0,0,0,0,1,37,3,3,,0,0,1533,15,10533,511,3,10104,3,
4,1,1,5,3,0,3,0,0,1,1,1,38,37,3,,0,1,10533,10,10533,3511,3,10101,0,
0,3,,,,,1,,,0,0,1,11112,,,,0,3,1,0,10533,0,0,10032,3,1
1,3,3,,,,1,0,,0,0,1,11113,11112,1,3,0,3,3,3,10533,3,1,3104,3,0
2,3,3,5,,,1,0,0,0,0,1,11114,11113,1,3,0,5,33,3,10533,33,1,3106,5,0
3,3,3,5,0,,1,0,0,0,0,1,11115,11114,1,,0,0,533,5,10533,533,1,10101,0,
4,3,3,5,0,1,1,0,0,1,1,1,11117,11115,1,,0,1,533,0,10533,533,1,10102,1,
0,1,,,,,7,,,0,0,1,1,,,,0,7,1,0,10537,0,0,10018,1,7
1,1,4,,,,7,5,,0,0,1,5557,1,7,1,0,3,7,7,10537,1,7,1755,4,5
2,1,4,0,,,7,5,2,0,0,1,5780,5557,7,1,20,5,337,33,10537,41,57,1721,0,2
3,1,4,0,0,,7,5,2,0,0,1,5781,5780,7,,8,0,2537,25,10537,41,257,10101,0,
4,1,4,0,0,0,7,5,2,1,1,1,5782,5781,7,,0,1,10537,10,10537,41,257,10101,0,
0,7,,,,,1,,,0,0,1,22223,,,,0,7,1,0,10537,0,0,10072,7,1
1,7,3,,,,1,0,,0,0,1,22224,22223,1,7,0,3,7,7,10537,7,1,7104,3,0
2,7,3,5,,,1,0,0,0,0,1,22225,22224,1,7,0,5,37,3,10537,37,1,7106,5,0
3,7,3,5,0,,1,0,0,0,0,1,22226,22225,1,,0,0,537,5,10537,537,1,10101,0,
4,7,3,5,0,1,1,0,0,1,1,1,22228,22226,1,,0,1,537,0,10537,537,1,10102,1,
1,7,5,,,,1,4,,0,0,1,26668,22223,1,7,0,3,7,7,10537,7,1,7146,5,4
2,7,5,2,,,1,4,0,0,0,1,26669,26668,1,7,20,5,337,33,10537,57,41,7103,2,0
3,7,5,2,0,,1,4,0,0,0,1,26670,26669,1,,8,0,2537,25,10537,257,41,10101,0,
4,7,5,2,0,0,1,4,0,1,1,1,26671,26670,1,,0,1,10537,10,10537,257,41,10101,0,
0,1,,,,,1,,,0,0,1,1,,,,0,1,1,0,10541,0,0,10012,1,1
1,1,4,,,,1,0,,0,0,1,2,1,1,1,0,4,1,1,10541,1,1,1105,4,0
2,1,4,5,,,1,0,0,0,0,1,3,2,1,1,0,5,41,4,10541,41,1,1106,5,0
3,1,4,5,0,,1,0,0,0,0,1,4,3,1,,0,0,541,5,10541,541,1,10101,0,
4,1,4,5,0,1,1,0,0,1,1,1,6,4,1,,0,1,541,0,10541,541,1,10102,1,
0,3,,,,,7,,,0,0,1,11112,,,,0,1,1,0,10541,0,0,10038,3,7
1,3,8,,,,7,2,,0,0,1,13335,11112,7,3,0,4,21,21,10541,3,7,3729,8,2
2,3,8,0,,,7,2,1,0,0,1,13447,13335,7,3,16,5,641,64,10541,83,27,3711,0,1
3,3,8,0,0,,7,2,1,0,0,1,13448,13447,7,,8,0,2541,25,10541,83,127,10101,0,
4,3,8,0,0,0,7,2,1,1,1,1,13449,13448,7,,0,1,10541,10,10541,83,127,10101,0,
0,7,,,,,3,,,0,0,1,22223,,,,0,1,1,0,10541,0,0,10074,7,3
1,7,2,,,,3,8,,0,0,1,31112,22223,3,7,0,4,21,21,10541,7,3,7383,2,8
2,7,2,1,,,3,8,0,0,0,1,31113,31112,3,7,16,5,641,64,10541,27,83,7302,1,0
3,7,2,1,0,,3,8,0,0,0,1,31114,31113,3,,8,0,2541,25,10541,127,83,10101,0,
4,7,2,1,0,0,3,8,0,1,1,1,31115,31114,3,,0,1,10541,10,10541,127,83,10101,0,
0,1,,,,,3,,,0,0,1,1,,,,0,3,1,0,10543,0,0,10014,1,3
1,1,1,,,,3,1,,0,0,1,1113,1,3,1,0,4,3,3,10543,1,3,1312,1,1
2,1,1,8,,,3,1,0,0,0,1,1114,1113,3,1,1,5,43,4,10543,11,13,1309,8,0
3,1,1,8,0,,3,1,0,0,0,1,1115,1114,3,,8,0,2543,25,10543,811,13,10101,0,
4,1,1,8,0,0,3,1,0,1,1,1,1116,1115,3,,0,1,10543,10,10543,811,13,10101,0,
0,3,,,,,1,,,0,0,1,11112,,,,0,3,1,0,10543,0,0,10032,3,1
1,3,4,,,,1,0,,0,0,1,11113,11112,1,3,0,4,3,3,10543,3,1,3105,4,0
2,3,4,5,,,1,0,0,0,0,1,11114,11113,1,3,0,5,43,4,10543,43,1,3106,5,0
3,3,4,5,0,,1,0,0,0,0,1,11115,11114,1,,0,0,543,5,10543,543,1,10101,0,
4,3,4,5,0,1,1,0,0,1,1,1,11117,11115,1,,0,1,543,0,10543,543,1,10102,1,
1,3,1,,,,1,1,,0,0,1,12224,11112,1,3,0,4,3,3,10543,3,1,3112,1,1
2,3,1,0,,,1,1,8,0,0,1,13113,12224,1,3,1,5,43,4,10543,13,11,3181,0,8
3,3,1,0,0,,1,1,8,0,0,1,13114,13113,1,,8,0,2543,25,10543,13,811,10101,0,
4,3,1,0,0,0,1,1,8,1,1,1,13115,13114,1,,0,1,10543,10,10543,13,811,10101,0,
0,3,,,,,9,,,0,0,1,11112,,,,0,7,1,0,10547,0,0,10040,3,9
1,3,5,,,,9,9,,0,0,1,21112,11112,9,3,0,4,27,27,10547,3,9,3996,5,9
2,3,5,0,,,9,9,1,0,0,1,21224,21112,9,3,45,5,747,74,10547,53,99,3911,0,1
3,3,5,0,0,,9,9,1,0,0,1,21225,21224,9,,5,0,5547,55,10547,53,199,10101,0,
4,3,5,0,0,0,9,9,1,1,1,1,21226,21225,9,,0,1,10547,10,10547,53,199,10101,0,
0,7,,,,,1,,,0,0,1,22223,,,,0,7,1,0,10547,0,0,10072,7,1
1,7,4,,,,1,0,,0,0,1,22224,22223,1,7,0,4,7,7,10547,7,1,7105,4,0
2,7,4,5,,,1,0,0,0,0,1,22225,22224,1,7,0,5,47,4,10547,47,1,7106,5,0
3,7,4,5,0,,1,0,0,0,0,1,22226,22225,1,,0,0,547,5,10547,547,1,10101,0,
4,7,4,5,0,1,1,0,0,1,1,1,22228,22226,1,,0,1,547,0,10547,547,1,10102,1,
0,9,,,,,3,,,0,0,1,33334,,,,0,7,1,0,10547,0,0,10094,9,3
1,9,9,,,,3,5,,0,0,1,38890,33334,3,9,0,4,27,27,10547,9,3,9360,9,5
2,9,9,1,,,3,5,0,0,0,1,38891,38890,3,9,45,5,747,74,10547,99,53,9302,1,0
3,9,9,1,0,,3,5,0,0,0,1,38892,38891,3,,5,0,5547,55,10547,199,53,10101,0,
4,9,9,1,0,0,3,5,0,1,1,1,38893,38892,3,,0,1,10547,10,10547,199,53,10101,0,
0,1,,,,,1,,,0,0,1,1,,,,0,1,1,0,10551,0,0,10012,1,1
1,1,5,,,,1,0,,0,0,1,2,1,1,1,0,5,1,1,10551,1,1,1106,5,0
2,1,5,5,,,1,0,0,0,0,1,3,2,1,1,0,5,51,5,10551,51,1,1106,5,0
3,1,5,5,0,,1,0,0,0,0,1,4,3,1,,0,0,551,5,10551,551,1,10101,0,
4,1,5,5,0,1,1,0,0,1,1,1,6,4,1,,0,1,551,0,10551,551,1,10102,1,
0,7,,,,,3,,,0,0,1,22223,,,,0,1,1,0,10551,0,0,10074,7,3
1,7,1,,,,3,0,,0,0,1,22224,22223,3,7,0,5,21,21,10551,7,3,7302,1,0
2,7,1,5,,,3,0,0,0,0,1,22225,22224,3,7,0,5,51,5,10551,17,3,7306,5,0
3,7,1,5,3,,3,0,0,0,0,1,22259,22225,3,,0,0,1551,15,10551,517,3,10104,3,
4,7,1,5,3,0,3,0,0,1,1,1,22260,22259,3,,0,1,10551,10,10551,3517,3,10101,0,
0,1,,,,,3,,,0,0,1,1,,,,0,3,1,0,10553,0,0,10014,1,3
1,1,6,,,,3,7,,0,0,1,7779,1,3,1,0,5,3,3,10553,1,3,1377,6,7
2,1,6,0,,,3,7,1,0,0,1,7891,7779,3,1,42,5,253,25,10553,61,73,1311,0,1
3,1,6,0,0,,3,7,1,0,0,1,7892,7891,3,,6,0,4553,45,10553,61,173,10101,0,
4,1,6,0,0,0,3,7,1,1,1,1,7893,7892,3,,0,1,10553,10,10553,61,173,10101,0,
0,3,,,,,1,,,0,0,1,11112,,,,0,3,1,0,10553,0,0,10032,3,1
1,3,5,,,,1,0,,0,0,1,11113,11112,1,3,0,5,3,3,10553,3,1,3106,5,0
2,3,5,5,,,1,0,0,0,0,1,11114,11113,1,3,0,5,53,5,10553,53,1,3106,5,0
3,3,5,5,0,,1,0,0,0,0,1,11115,11114,1,,0,0,553,5,10553,553,1,10101,0,
4,3,5,5,0,1,1,0,0,1,1,1,11117,11115,1,,0,1,553,0,10553,553,1,10102,1,
1,3,7,,,,1,6,,0,0,1,17779,11112,1,3,0,5,3,3,10553,3,1,3168,7,6
2,3,7,1,,,1,6,0,0,0,1,17780,17779,1,3,42,5,253,25,10553,73,61,3102,1,0
3,3,7,1,0,,1,6,0,0,0,1,17781,17780,1,,6,0,4553,45,10553,173,61,10101,0,
4,3,7,1,0,0,1,6,0,1,1,1,17782,17781,1,,0,1,10553,10,10553,173,61,10101,0,
0,1,,,,,5,,,0,0,1,1,,,,0,5,1,0,10555,0,0,10016,1,5
1,1,1,,,,5,0,,0,0,1,2,1,5,1,0,5,5,5,10555,1,5,1502,1,0
2,1,1,1,,,5,0,0,0,0,1,3,2,5,1,0,5,55,5,10555,11,5,1502,1,0
3,1,1,1,2,,5,0,0,0,0,1,26,3,5,,0,0,555,5,10555,111,5,10103,2,
4,1,1,1,2,0,5,0,0,1,1,1,27,26,5,,0,1,10555,10,10555,2111,5,10101,0,
0,5,,,,,1,,,0,0,1,22223,,,,0,5,1,0,10555,0,0,10052,5,1
1,5,5,,,,1,0,,0,0,1,22224,22223,1,5,0,5,5,5,10555,5,1,5106,5,0
2,5,5,5,,,1,0,0,0,0,1,22225,22224,1,5,0,5,55,5,10555,55,1,5106,5,0
3,5,5,5,0,,1,0,0,0,0,1,22226,22225,1,,0,0,555,5,10555,555,1,10101,0,
4,5,5,5,0,1,1,0,0,1,1,1,22228,22226,1,,0,1,555,0,10555,555,1,10102,1,
0,1,,,,,1,,,0,0,1,1,,,,0,1,1,0,10561,0,0,10012,1,1
1,1,6,,,,1,0,,0,0,1,2,1,1,1,0,6,1,1,10561,1,1,1107,6,0
2,1,6,5,,,1,0,0,0,0,1,3,2,1,1,0,5,61,6,10561,61,1,1106,5,0
3,1,6,5,0,,1,0,0,0,0,1,4,3,1,,0,0,561,5,10561,561,1,10101,0,
4,1,6,5,0,1,1,0,0,1,1,1,6,4,1,,0,1,561,0,10561,561,1,10102,1,
0,9,,,,,9,,,0,0,1,33334,,,,0,1,1,0,10561,0,0,10100,9,9
1,9,7,,,,9,5,,0,0,1,38890,33334,9,9,0,6,81,81,10561,9,9,9958,7,5
2,9,7,1,,,9,5,0,0,0,1,38891,38890,9,9,35,5,1161,116,10561,79,59,9902,1,0
3,9,7,1,0,,9,5,0,0,0,1,38892,38891,9,,5,0,5561,55,10561,179,59,10101,0,
4,9,7,1,0,0,9,5,0,1,1,1,38893,38892,9,,0,1,10561,10,10561,179,59,10101,0,
1,9,5,,,,9,7,,0,0,1,41112,33334,9,9,0,6,81,81,10561,9,9,9976,5,7
2,9,5,0,,,9,7,1,0,0,1,41224,41112,9,9,35,5,1161,116,10561,59,79,9911,0,1
3,9,5,0,0,,9,7,1,0,0,1,41225,41224,9,,5,0,5561,55,10561,59,179,10101,0,
4,9,5,0,0,0,9,7,1,1,1,1,41226,41225,9,,0,1,10561,10,10561,59,179,10101,0,
0,3,,,,,5,,,0,0,1,11112,,,,0,5,1,0,10565,0,0,10036,3,5
1,3,1,,,,5,0,,0,0,1,11113,11112,5,3,0,6,15,15,10565,3,5,3502,1,0
2,3,1,1,,,5,0,0,0,0,1,11114,11113,5,3,0,5,65,6,10565,13,5,3502,1,0
3,3,1,1,2,,5,0,0,0,0,1,11137,11114,5,,0,0,565,5,10565,113,5,10103,2,
4,3,1,1,2,0,5,0,0,1,1,1,11138,11137,5,,0,1,10565,10,10565,2113,5,10101,0,
0,5,,,,,1,,,0,0,1,22223,,,,0,5,1,0,10565,0,0,10052,5,1
1,5,6,,,,1,0,,0,0,1,22224,22223,1,5,0,6,5,5,10565,5,1,5107,6,0
2,5,6,5,,,1,0,0,0,0,1,22225,22224,1,5,0,5,65,6,10565,65,1,5106,5,0
3,5,6,5,0,,1,0,0,0,0,1,22226,22225,1,,0,0,565,5,10565,565,1,10101,0,
4,5,6,5,0,1,1,0,0,1,1,1,22228,22226,1,,0,1,565,0,10565,565,1,10102,1,
0,3,,,,,1,,,0,0,1,11112,,,,0,3,1,0,10573,0,0,10032,3,1
1,3,7,,,,1,0,,0,0,1,11113,11112,1,3,0,7,3,3,10573,3,1,3108,7,0
2,3,7,5,,,1,0,0,0,0,1,11114,11113,1,3,0,5,73,7,10573,73,1,3106,5,0
3,3,7,5,0,,1,0,0,0,0,1,11115,11114,1,,0,0,573,5,10573,573,1,10101,0,
4,3,7,5,0,1,1,0,0,1,1,1,11117,11115,1,,0,1,573,0,10573,573,1,10102,1,
0,7,,,,,9,,,0,0,1,22223,,,,0,3,1,0,10573,0,0,10080,7,9
1,7,9,,,,9,0,,0,0,1,22224,22223,9,7,0,7,63,63,10573,7,9,7910,9,0
2,7,9,0,,,9,0,1,0,0,1,22336,22224,9,7,0,5,873,87,10573,97,9,7911,0,1
3,7,9,0,0,,9,0,1,0,0,1,22337,22336,9,,9,0,1573,15,10573,97,109,10101,0,
4,7,9,0,0,0,9,0,1,1,1,1,22338,22337,9,,0,1,10573,10,10573,97,109,10101,0,
0,9,,,,,7,,,0,0,1,33334,,,,0,3,1,0,10573,0,0,10098,9,7
1,9,0,,,,7,9,,0,0,1,43334,33334,7,9,0,7,63,63,10573,9,7,9791,0,9
2,9,0,1,,,7,9,0,0,0,1,43335,43334,7,9,0,5,873,87,10573,9,97,9702,1,0
3,9,0,1,0,,7,9,0,0,0,1,43336,43335,7,,9,0,1573,15,10573,109,97,10101,0,
4,9,0,1,0,0,7,9,0,1,1,1,43337,43336,7,,0,1,10573,10,10573,109,97,10101,0,
0,1,,,,,7,,,0,0,1,1,,,,0,7,1,0,10577,0,0,10018,1,7
1,1,1,,,,7,0,,0,0,1,2,1,7,1,0,7,7,7,10577,1,7,1702,1,0
2,1,1,5,,,7,0,0,0,0,1,3,2,7,1,0,5,77,7,10577,11,7,1706,5,0
3,1,1,5,1,,7,0,0,0,0,1,15,3,7,,0,0,3577,35,10577,511,7,10102,1,
4,1,1,5,1,0,7,0,0,1,1,1,16,15,7,,0,1,10577,10,10577,1511,7,10101,0,
0,7,,,,,1,,,0,0,1,22223,,,,0,7,1,0,10577,0,0,10072,7,1
1,7,7,,,,1,0,,0,0,1,22224,22223,1,7,0,7,7,7,10577,7,1,7108,7,0
2,7,7,5,,,1,0,0,0,0,1,22225,22224,1,7,0,5,77,7,10577,77,1,7106,5,0
3,7,7,5,0,,1,0,0,0,0,1,22226,22225,1,,0,0,577,5,10577,577,1,10101,0,
4,7,7,5,0,1,1,0,0,1,1,1,22228,22226,1,,0,1,577,0,10577,577,1,10102,1,
0,1,,,,,9,,,0,0,1,1,,,,0,9,1,0,10579,0,0,10020,1,9
1,1,7,,,,9,4,,0,0,1,4446,1,9,1,0,7,9,9,10579,1,9,1948,7,4
2,1,7,0,,,9,4,1,0,0,1,4558,4446,9,1,28,5,679,67,10579,71,49,1911,0,1
3,1,7,0,0,,9,4,1,0,0,1,4559,4558,9,,7,0,3579,35,10579,71,149,10101,0,
4,1,7,0,0,0,9,4,1,1,1,1,4560,4559,9,,0,1,10579,10,10579,71,149,10101,0,
0,9,,,,,1,,,0,0,1,33334,,,,0,9,1,0,10579,0,0,10092,9,1
1,9,7,,,,1,0,,0,0,1,33335,33334,1,9,0,7,9,9,10579,9,1,9108,7,0
2,9,7,5,,,1,0,0,0,0,1,33336,33335,1,9,0,5,79,7,10579,79,1,9106,5,0
3,9,7,5,0,,1,0,0,0,0,1,33337,33336,1,,0,0,579,5,10579,579,1,10101,0,
4,9,7,5,0,1,1,0,0,1,1,1,33339,33337,1,,0,1,579,0,10579,579,1,10102,1,
1,9,4,,,,1,7,,0,0,1,41112,33334,1,9,0,7,9,9,10579,9,1,9175,4,7
2,9,4,1,,,1,7,0,0,0,1,41113,41112,1,9,28,5,679,67,10579,49,71,9102,1,0
3,9,4,1,0,,1,7,0,0,0,1,41114,41113,1,,7,0,3579,35,10579,149,71,10101,0,
4,9,4,1,0,0,1,7,0,1,1,1,41115,41114,1,,0,1,10579,10,10579,149,71,10101,0,
0,1,,,,,1,,,0,0,1,1,,,,0,1,1,0,10581,0,0,10012,1,1
1,1,8,,,,1,0,,0,0,1,2,1,1,1,0,8,1,1,10581,1,1,1109,8,0
2,1,8,5,,,1,0,0,0,0,1,3,2,1,1,0,5,81,8,10581,81,1,1106,5,0
3,1,8,5,0,,1,0,0,0,0,1,4,3,1,,0,0,581,5,10581,581,1,10101,0,
4,1,8,5,0,1,1,0,0,1,1,1,6,4,1,,0,1,581,0,10581,581,1,10102,1,
0,7,,,,,3,,,0,0,1,22223,,,,0,1,1,0,10581,0,0,10074,7,3
1,7,2,,,,3,0,,0,0,1,22224,22223,3,7,0,8,21,21,10581,7,3,7303,2,0
2,7,2,5,,,3,0,0,0,0,1,22225,22224,3,7,0,5,81,8,10581,27,3,7306,5,0
3,7,2,5,3,,3,0,0,0,0,1,22259,22225,3,,0,0,1581,15,10581,527,3,10104,3,
4,7,2,5,3,0,3,0,0,1,1,1,22260,22259,3,,0,1,10581,10,10581,3527,3,10101,0,
0,3,,,,,1,,,0,0,1,11112,,,,0,3,1,0,10583,0,0,10032,3,1
1,3,8,,,,1,0,,0,0,1,11113,11112,1,3,0,8,3,3,10583,3,1,3109,8,0
2,3,8,5,,,1,0,0,0,0,1,11114,11113,1,3,0,5,83,8,10583,83,1,3106,5,0
3,3,8,5,0,,1,0,0,0,0,1,11115,11114,1,,0,0,583,5,10583,583,1,10101,0,
4,3,8,5,0,1,1,0,0,1,1,1,11117,11115,1,,0,1,583,0,10583,583,1,10102,1,
0,7,,,,,9,,,0,0,1,22223,,,,0,3,1,0,10583,0,0,10080,7,9
1,7,5,,,,9,1,,0,0,1,23335,22223,9,7,0,8,63,63,10583,7,9,7916,5,1
2,7,5,5,,,9,1,0,0,0,1,23336,23335,9,7,5,5,583,58,10583,57,19,7906,5,0
3,7,5,5,0,,9,1,0,0,0,1,23337,23336,9,,5,0,5583,55,10583,557,19,10101,0,
4,7,5,5,0,0,9,1,0,1,1,1,23338,23337,9,,0,1,10583,10,10583,557,19,10101,0,
0,9,,,,,7,,,0,0,1,33334,,,,0,3,1,0,10583,0,0,10098,9,7
1,9,1,,,,7,5,,0,0,1,38890,33334,7,9,0,8,63,63,10583,9,7,9752,1,5
2,9,1,0,,,7,5,5,0,0,1,39446,38890,7,9,5,5,583,58,10583,19,57,9751,0,5
3,9,1,0,0,,7,5,5,0,0,1,39447,39446,7,,5,0,5583,55,10583,19,557,10101,0,
4,9,1,0,0,0,7,5,5,1,1,1,39448,39447,7,,0,1,10583,10,10583,19,557,10101,0,
0,7,,,,,1,,,0,0,1,22223,,,,0,7,1,0,10587,0,0,10072,7,1
1,7,8,,,,1,0,,0,0,1,22224,22223,1,7,0,8,7,7,10587,7,1,7109,8,0
2,7,8,5,,,1,0,0,0,0,1,22225,22224,1,7,0,5,87,8,10587,87,1,7106,5,0
3,7,8,5,0,,1,0,0,0,0,1,22226,22225,1,,0,0,587,5,10587,587,1,10101,0,
4,7,8,5,0,1,1,0,0,1,1,1,22228,22226,1,,0,1,587,0,10587,587,1,10102,1,
0,9,,,,,3,,,0,0,1,33334,,,,0,7,1,0,10587,0,0,10094,9,3
1,9,2,,,,3,0,,0,0,1,33335,33334,3,9,0,8,27,27,10587,9,3,9303,2,0
2,9,2,5,,,3,0,0,0,0,1,33336,33335,3,9,0,5,87,8,10587,29,3,9306,5,0
3,9,2,5,3,,3,0,0,0,0,1,33370,33336,3,,0,0,1587,15,10587,529,3,10104,3,
4,9,2,5,3,0,3,0,0,1,1,1,33371,33370,3,,0,1,10587,10,10587,3529,3,10101,0,
0,3,,,,,3,,,0,0,1,11112,,,,0,9,1,0,10599,0,0,10034,3,3
1,3,3,,,,3,0,,0,0,1,11113,11112,3,3,0,9,9,9,10599,3,3,3304,3,0
2,3,3,5,,,3,0,0,0,0,1,11114,11113,3,3,0,5,99,9,10599,33,3,3306,5,0
3,3,3,5,3,,3,0,0,0,0,1,11148,11114,3,,0,0,1599,15,10599,533,3,10104,3,
4,3,3,5,3,0,3,0,0,1,1,1,11149,11148,3,,0,1,10599,10,10599,3533,3,10101,0,
0,9,,,,,1,,,0,0,1,33334,,,,0,9,1,0,10599,0,0,10092,9,1
1,9,9,,,,1,0,,0,0,1,33335,33334,1,9,0,9,9,9,10599,9,1,9110,9,0
2,9,9,5,,,1,0,0,0,0,1,33336,33335,1,9,0,5,99,9,10599,99,1,9106,5,0
3,9,9,5,0,,1,0,0,0,0,1,33337,33336,1,,0,0,599,5,10599,599,1,10101,0,
